Label,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7
1,0.0003429653588682413,0.9977916479110718,6.082882464397699e-08,5.094441348774126e-07,0.00178610160946846,7.803089829394594e-05,7.304099653993035e-07,1.535455140810882e-08
0,0.22025808691978455,0.5970945954322815,0.037859730422496796,0.0003187884285580367,0.12122312933206558,0.005805524531751871,0.016959011554718018,0.00048116891412064433
1,0.03513668477535248,0.9638324975967407,2.267735794703185e-07,1.1771717254305258e-05,0.001006397302262485,1.0829628081410192e-05,1.3130464822097565e-06,2.6709656708590046e-07
1,0.059490106999874115,0.8157322406768799,0.028280965983867645,0.006372321862727404,0.08712305128574371,0.00043898794683627784,1.7769283658708446e-05,0.0025445239152759314
1,0.07247796654701233,0.9189239740371704,0.00035680682049132884,0.00021115937852300704,0.007580822333693504,0.0003722555993590504,1.9157068891217932e-05,5.790099748992361e-05
1,0.07479619979858398,0.6588391661643982,0.01128122117370367,0.016837196424603462,0.20094189047813416,0.019270101562142372,1.7785934687708504e-05,0.018016403540968895
0,0.5731269121170044,0.2803434729576111,0.0009790757903829217,0.01860273815691471,0.12389042228460312,0.00023390208662021905,1.6690502206984092e-06,0.002821742556989193
1,0.05174391344189644,0.06412333250045776,0.3818778097629547,0.2736866772174835,0.12955540418624878,0.0038892976008355618,3.5737029975280166e-05,0.09508784115314484
2,0.00817740149796009,0.024480946362018585,0.7602818608283997,0.056312959641218185,0.029475012794137,0.06879013776779175,0.0007470438722521067,0.0517345629632473
1,0.14123405516147614,0.5972927212715149,0.1371435672044754,0.010717768222093582,0.08326128125190735,0.005458500236272812,4.342542524682358e-05,0.02484869956970215
1,0.002581123262643814,0.9958038926124573,0.00021573145932052284,9.121652510657441e-06,0.0011295502772554755,0.0002456729707773775,7.792072210577317e-06,6.994320301600965e-06
1,0.029900046065449715,0.9511495232582092,0.0023336289450526237,0.0001194356445921585,0.015106010250747204,0.0011540150735527277,9.07151770661585e-05,0.00014654314145445824
1,0.5479480028152466,0.33496761322021484,0.031040027737617493,0.03360869735479355,0.026422422379255295,0.0052286782301962376,0.001366912736557424,0.019417690113186836
1,0.14538070559501648,0.8443252444267273,0.00027889516786672175,5.698406675946899e-05,0.009672019630670547,0.00016519296332262456,6.624461093451828e-05,5.476342994370498e-05
